country,areasqmi
Afghanistan,252072
Albania,11082
Algeria,919595
Samoa,1093
Andorra,181
Angola,481354
Anguilla,39.38
Antarctica,5275000
Antigua and Barbuda,171
Argentina,1077924
Armenia,11484
Aruba,70
Australia,2968402
Austria,32387
Azerbaijan,33436
Bahamas,5382
Bahrain,300
Bangladesh,56977
Barbados,166
Belarus,80155
Belgium,11787
Belize,8867
Benin,44310
Bermuda,20.7
Bhutan,14824
"Bonaire, Sint Eustatius and Saba",150
Bolivia,424165
Bosnia and Herzegovina,19772
Botswana,224607
Brazil,3282922
British Virgin Islands,59.07
Brunei,2226
Bulgaria,42871
Burkina Faso,104543
Myanmar,261228
Burundi,10747
Cambodia,69898
Cameroon,179943
Canada,3855103
Cabo Verde,1557
Cayman Islands,102
Central African Republic,240542
Channel Islands,76.45
Chad,495755
Chile,291930
China,3696118
Colombia,440531
Comoros,719
Congo (Kinshasa),905410
Congo (Brazzaville),132047
Cook Islands,91.39
Costa Rica,19730
Cote d'Ivoire,124503
Croatia,21851
Curacao,171.4
Cuba,42426
Cyprus,3572
Czechia,30452
Denmark,16577
Djibouti,8880
Dominica,285
Dominican Republic,18619
East Timor,5774
Ecuador,99112
Egypt,384791
El Salvador,8124
Equatorial Guinea,10831
Eritrea,46757
Eswatini,6704
Estonia,17505
Ethiopia,410678
Falklands Islands (Malvinas),4700
Faroe Islands,541
Fiji,7055
Finland,130681
France,210017
French Guiana,32373
French Polynesia,1359
Gabon,103347
Gambia,4127
Gaza Strip,141
Georgia,26911
Germany,138065
Ghana,92098
Gibraltar,2.625
Greece,50984
Greenland,836331
Grenada,133
Guadeloupe,629
Guam,217
Guatemala,42042
Guernsey,30.2
Guinea,94926
Guinea-Bissau,13948
Guyana,83012
Haiti,10450
Honduras,43433
Hong Kong,430
Hungary,35917
Iceland,39769
India,1269299
Indonesia,740122
Iran,629674
Iraq,167975
Ireland,26435
Isle of Man,221
Israel,8522
Italy,116629
Jamaica,4244
Japan,145937
Jersey,46
Jordan,34486
Kazakhstan,1052090
Kenya,224961
Kiribati,313
North Korea,47573
Kosovo,4210
South Korea,38696
Kuwait,6880
Kyrgyzstan,77199
Laos,91429
Latvia,24940
Lebanon,4036
Lesotho,11720
Liberia,37466
Libya,647184
Liechtenstein,62
Lithuania,25207
Luxembourg,998
Macau,13
Macedonia,9928
Madagascar,226658
Malawi,45853
Malaysia,127572
Maldives,115
Mali,479245
Malta,122
Marshall Islands,70
Martinique,436
Mauritania,397956
Mauritius,775
Mayotte,145
Mexico,758450
Micronesia,271
Moldova,13067
Monaco,2
Mongolia,603957
Montenegro,5360
Montserrat,39.38
Morocco,158300
Mozambique,308642
Namibia,318772
Nauru,8.2
Nepal,56827
Netherlands,16040
Netherlands Antilles,308.9
New Caledonia,7169
New Zealand,102587
Nicaragua,50337
Niger,489191
Nigeria,356669
Niue,101
N. Mariana Islands,182
North Macedonia,9821
Norway,148451
Oman,119499
Pakistan,307374
Palau,189
Panama,29081
Papua New Guinea,178355
Paraguay,157048
Peru,496225
Philippines,114145
Pitcairn Islands,18.15
Poland,120738
Portugal,35608
Puerto Rico,3435
Qatar,4489
Reunion,970
Romania,92046
Russia,6592850
Rwanda,10169
Saint Barthelemy,8.108
"Saint Helena, Ascension and Tristan da Cunha",162.2
Saint Kitts and Nevis,102
Saint Lucia,238
Saint Pierre and Miquelon,93.44
Saint Vincent and the Grenadines,150
Samoa,1093
San Marino,24
Sao Tome and Principe,386
Saudi Arabia,830000
Senegal,75951
Serbia,29957
Seychelles,172
Sierra Leone,27699
Singapore,272
Sint Maarten,13.13
Slovakia,18932
Slovenia,7827
Solomon Islands,11740
Somalia,246201
South Africa,471359
South Sudan,248777
Spain,195361
St Martin,37
Sri Lanka,25332
Sudan,710693
Suriname,63251
Swaziland,17363
Sweden,172752
Switzerland,15943
Syria,71498
Taiwan,13976
Tajikistan,54595
Tanzania,365060
Thailand,198117
Tibet,474300
Timor-Leste,5794
Togo,21853
Tonga,251
Trinidad and Tobago,1980
Tunisia,63170
Turkey,297146
Turkmenistan,189657
Turks and Caicos Islands,366
Tuvalu,9.9
Uganda,93265
Ukraine,233032
United Arab Emirates,27423
United Kingdom,93630
USA,3797173
Uruguay,74655
Uzbekistan,173349
Vanuatu,4707
Vatican City, 1
Venezuela,353841
Vietnam,127891
Virgin Islands,1910
Wallis and Futuna,105.8
West Bank and Gaza,2183
Western Sahara,102703
Yemen,175677
Zambia,290585
Zimbabwe,150872
